ticker,sector,model,feature_group,noise_intensity,metric_focus,seed_count,clean_metric,noisy_metric_mean,noisy_metric_std,metric_degradation_mean,metric_degradation_ci95_lower,metric_degradation_ci95_upper,clean_predicted_positive_proportion,noisy_predicted_positive_proportion_mean,noisy_predicted_positive_proportion_std,clean_precision,noisy_precision_mean,noisy_precision_std,clean_recall,noisy_recall_mean,noisy_recall_std,clean_true_negative,clean_false_positive,clean_false_negative,clean_true_positive,noisy_true_negative_mean,noisy_false_positive_mean,noisy_false_negative_mean,noisy_true_positive_mean,clean_probability_mean,clean_probability_std,clean_probability_median,clean_probability_band_share,clean_mean_abs_distance_to_threshold,noisy_probability_mean_pooled,noisy_probability_std_pooled,noisy_probability_median_pooled,noisy_probability_band_share_pooled,noisy_mean_abs_distance_to_threshold_pooled,likely_driver,average_logical_clipped_values,max_logical_clipped_values,clean_parity_status,clean_parity_max_abs_diff
XLF,Financials,Logistic Regression,all_predictors,1.0,recall,30,0.46107784431137727,0.5049900199600798,0.038753692300260066,-0.04391217564870248,-0.05778000633555406,-0.030044344961850898,0.14156626506024098,0.3420180722891566,0.01206991964934208,0.4095744680851064,0.18568241078060457,0.012752314959295595,0.46107784431137727,0.5049900199600798,0.038753692300260066,1050,111,90,77,791.1333333333333,369.8666666666667,82.66666666666667,84.33333333333333,0.27160166774402933,0.20741669239740176,0.19883232961897584,0.054969879518072286,0.2840158803928192,0.3778240692791589,0.328739629959922,0.2697062011913305,0.0572289156626506,0.3190535887936405,Threshold crossing around 0.5 with seed variability; no evidence of fitting on noisy data or a leakage issue.,1287.9666666666667,1340,small-drift,0.0059880239520958
XLF,Financials,Random Forest,all_predictors,1.0,recall,30,0.3473053892215569,0.49141716566866267,0.0235844871761124,-0.14411177644710577,-0.15255137679435718,-0.13567217609985435,0.10843373493975904,0.27437248995983937,0.011502704011094917,0.4027777777777778,0.2255054765996584,0.012247216713707508,0.3473053892215569,0.49141716566866267,0.0235844871761124,1075,86,109,58,878.7,282.3,84.93333333333334,82.06666666666666,0.19783190780760035,0.20908786183729425,0.11346166187581061,0.04593373493975904,0.34073540044075007,0.41676034882296276,0.16680182512954336,0.39664347330691896,0.17853915662650602,0.15589194631588726,Threshold crossing around 0.5 with seed variability; no evidence of fitting on noisy data or a leakage issue.,1287.9666666666667,1340,small-drift,0.0059880239520958
XLU,Utilities,Logistic Regression,all_predictors,1.0,recall,30,0.42162162162162165,0.5368468468468468,0.016332039512522312,-0.11522522522522516,-0.1210695705065936,-0.10938087994385672,0.32680722891566266,0.4692269076305221,0.011834898787967743,0.35944700460829493,0.3188102391759136,0.0077331970741812564,0.42162162162162165,0.5368468468468468,0.016332039512522312,680,278,214,156,533.5,424.5,171.36666666666667,198.63333333333333,0.4585980131767006,0.18262757473708283,0.42454371105595834,0.19352409638554216,0.1525729415083855,0.4898602688069936,0.2752241340053044,0.47139707062916125,0.10303714859437751,0.2391496394554741,Threshold crossing around 0.5 with seed variability; no evidence of fitting on noisy data or a leakage issue.,731.1333333333333,776,small-drift,0.004573281389890382
XLU,Utilities,Random Forest,all_predictors,1.0,recall,30,0.34054054054054056,0.36090090090090093,0.019602011429595934,-0.020360360360360374,-0.027374850064236712,-0.013345870656484037,0.21536144578313254,0.276004016064257,0.009487361029520889,0.4405594405594406,0.3643574704608138,0.01605310185963491,0.34054054054054056,0.36090090090090093,0.019602011429595934,798,160,244,126,725.0,233.0,236.46666666666667,133.53333333333333,0.37928855404048073,0.18909206008939974,0.36298046483947655,0.14457831325301204,0.1867449364842091,0.4276024303559585,0.1620561786776414,0.41045965500604514,0.196285140562249,0.14562103828088852,Threshold crossing around 0.5 with seed variability; no evidence of fitting on noisy data or a leakage issue.,731.1333333333333,776,small-drift,0.004573281389890382
