model,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,average_precision
Logistic Regression,0.8072289156626506,0.7105380405236933,0.43859649122807015,0.5656108597285068,0.49407114624505927,0.7868561641875846,0.5115454699383656
Random Forest,0.8463855421686747,0.6851340911599162,0.547486033519553,0.4434389140271493,0.49,0.7699256479744285,0.4641844234644762
