model,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,average_precision
Logistic Regression,0.6295180722891566,0.5657168650905603,0.35944700460829493,0.42162162162162165,0.3880597014925373,0.6075156576200418,0.4248495663195855
Random Forest,0.6935240963855421,0.5851972013767421,0.4359861591695502,0.34054054054054056,0.38239757207890746,0.5833380353213339,0.4320047066000814
