ticker,sector,model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
XLB,Materials,Logistic Regression,all_predictors,0.05,accuracy,30,0.848644578313253,0.8484939759036144,0.0026115068188331,0.8475594601903621,0.8494284916168667,0.0001506024096385,0.0026115068188331,-0.0007839133036137,0.0010851181228908
XLB,Materials,Logistic Regression,all_predictors,0.05,average_precision,30,0.3874020618937343,0.3862998008424899,0.0028444965824435,0.3852819108130954,0.3873176908718843,0.0011022610512443,0.0028444965824435,8.437102184993741e-05,0.0021201510806388
XLB,Materials,Logistic Regression,all_predictors,0.05,balanced_accuracy,30,0.7085862634080593,0.7130488944254126,0.0045466794497891,0.7114218860797681,0.7146759027710572,-0.0044626310173533,0.0045466794497891,-0.0060896393629978,-0.0028356226717088
XLB,Materials,Logistic Regression,all_predictors,0.05,f1_score,30,0.4668435013262599,0.471650924269326,0.0072152305444929,0.4690689871784709,0.4742328613601811,-0.004807422943066,0.0072152305444929,-0.0073893600339211,-0.0022254858522109
XLB,Materials,Logistic Regression,all_predictors,0.05,precision,30,0.4230769230769231,0.4240413957863031,0.0075416520216386,0.4213426502700073,0.4267401413025989,-0.00096447270938,0.0075416520216386,-0.0036632182256759,0.0017342728069158
XLB,Materials,Logistic Regression,all_predictors,0.05,recall,30,0.5207100591715976,0.5313609467455621,0.0082811082986143,0.5283975901989165,0.5343243032922077,-0.0106508875739645,0.0082811082986143,-0.0136142441206101,-0.0076875310273189
XLB,Materials,Logistic Regression,all_predictors,0.05,roc_auc,30,0.8054535893521757,0.804542445453045,0.0026141316375907,0.8036069904604634,0.8054779004456266,0.0009111438991309,0.0026141316375907,-2.4311093450721504e-05,0.0018465988917125
XLB,Materials,Logistic Regression,all_predictors,0.1,accuracy,30,0.848644578313253,0.8466616465863452,0.0029956667470568,0.8455896610082863,0.8477336321644042,0.0019829317269076,0.0029956667470568,0.0009109461488486,0.0030549173049666
XLB,Materials,Logistic Regression,all_predictors,0.1,average_precision,30,0.3874020618937343,0.382465237823486,0.0047762770431269,0.3807560690342417,0.3841744066127303,0.0049368240702482,0.0047762770431269,0.003227655281004,0.0066459928594925
XLB,Materials,Logistic Regression,all_predictors,0.1,balanced_accuracy,30,0.7085862634080593,0.7129257691712064,0.0060157336654685,0.7107730665259064,0.7150784718165064,-0.0043395057631469,0.0060157336654685,-0.0064922084084469,-0.0021868031178469
XLB,Materials,Logistic Regression,all_predictors,0.1,f1_score,30,0.4668435013262599,0.4696524041701773,0.0087388134014462,0.4665252599559876,0.472779548384367,-0.0028089028439173,0.0087388134014462,-0.005936047058107,0.0003182413702723
XLB,Materials,Logistic Regression,all_predictors,0.1,precision,30,0.4230769230769231,0.4195112216179266,0.0084616014296437,0.4164832764338458,0.4225391668020073,0.0035657014589964,0.0084616014296437,0.0005377562749157,0.0065936466430772
XLB,Materials,Logistic Regression,all_predictors,0.1,recall,30,0.5207100591715976,0.5335305719921103,0.0120449861124535,0.5292203290676738,0.5378408149165468,-0.0128205128205128,0.0120449861124535,-0.0171307557449492,-0.0085102698960763
XLB,Materials,Logistic Regression,all_predictors,0.1,roc_auc,30,0.8054535893521757,0.800888509954681,0.005005925126703,0.7990971626541372,0.8026798572552247,0.0045650793974946,0.005005925126703,0.0027737320969509,0.0063564266980383
XLB,Materials,Logistic Regression,all_predictors,0.2,accuracy,30,0.848644578313253,0.8362198795180721,0.0046827671704525,0.8345441728070151,0.8378955862291291,0.0124246987951807,0.0046827671704525,0.0107489920841237,0.0141004055062377
XLB,Materials,Logistic Regression,all_predictors,0.2,average_precision,30,0.3874020618937343,0.369681142560588,0.0086611610113938,0.3665817858973065,0.3727804992238694,0.0177209193331462,0.0086611610113938,0.0146215626698648,0.0208202759964277
XLB,Materials,Logistic Regression,all_predictors,0.2,balanced_accuracy,30,0.7085862634080593,0.7046691444879537,0.0085199449193308,0.7016203213542213,0.7077179676216862,0.0039171189201054,0.0085199449193308,0.000868295786373,0.0069659420538379
XLB,Materials,Logistic Regression,all_predictors,0.2,f1_score,30,0.4668435013262599,0.4508156681795458,0.0125073683784215,0.4463399638862321,0.4552913724728595,0.0160278331467141,0.0125073683784215,0.0115521288534004,0.0205035374400278
XLB,Materials,Logistic Regression,all_predictors,0.2,precision,30,0.4230769230769231,0.3933301444617738,0.0121209614701696,0.3889927141047433,0.3976675748188042,0.0297467786151492,0.0121209614701696,0.0254093482581188,0.0340842089721796
XLB,Materials,Logistic Regression,all_predictors,0.2,recall,30,0.5207100591715976,0.5282051282051282,0.0164402725397363,0.5223220522323846,0.5340882041778718,-0.0074950690335305,0.0164402725397363,-0.0133781450062741,-0.0016119930607869
XLB,Materials,Logistic Regression,all_predictors,0.2,roc_auc,30,0.8054535893521757,0.7873728116974947,0.0089377171828838,0.7841744906792323,0.7905711327157572,0.0180807776546809,0.0089377171828838,0.0148824566364184,0.0212790986729433
XLB,Materials,Logistic Regression,all_predictors,0.5,accuracy,30,0.848644578313253,0.7621736947791163,0.0093196660466027,0.7588386951153187,0.765508694442914,0.0864708835341365,0.0093196660466027,0.0831358838703388,0.0898058831979342
XLB,Materials,Logistic Regression,all_predictors,0.5,average_precision,30,0.3874020618937343,0.3070853703370123,0.0154285130225302,0.3015643478576936,0.3126063928163309,0.080316691556722,0.0154285130225302,0.0747956690774033,0.0858377140360406
XLB,Materials,Logistic Regression,all_predictors,0.5,balanced_accuracy,30,0.7085862634080593,0.6635111033962829,0.0146854834152424,0.658255970647144,0.6687662361454219,0.0450751600117763,0.0146854834152424,0.0398200272626374,0.0503302927609152
XLB,Materials,Logistic Regression,all_predictors,0.5,f1_score,30,0.4668435013262599,0.3624963430369823,0.0178070400582469,0.3561241755890796,0.3688685104848849,0.1043471582892776,0.0178070400582469,0.097974990841375,0.1107193257371803
XLB,Materials,Logistic Regression,all_predictors,0.5,precision,30,0.4230769230769231,0.2752437519090066,0.0145308566374003,0.2700439516416903,0.2804435521763228,0.1478331711679165,0.0145308566374003,0.1426333709006003,0.1530329714352327
XLB,Materials,Logistic Regression,all_predictors,0.5,recall,30,0.5207100591715976,0.5311637080867849,0.0267655313341005,0.5215857857069234,0.5407416304666465,-0.0104536489151873,0.0267655313341005,-0.0200315712950488,-0.0008757265353258
XLB,Materials,Logistic Regression,all_predictors,0.5,roc_auc,30,0.8054535893521757,0.7270160803113614,0.0157591779820753,0.7213767308959275,0.7326554297267954,0.0784375090408143,0.0157591779820753,0.0727981596253803,0.0840768584562482
