ticker,sector,metric,clean_winner,clean_winner_performance,clean_loser_performance,clean_margin,robustness_winner,robustness_winner_mean_degradation,robustness_loser_mean_degradation,robustness_margin,winner_match
XLB,Materials,average_precision,Random Forest,0.3998756330234307,0.3874020618937343,0.012473571129696437,Logistic Regression,0.007920001484879566,0.011239190535228134,0.0033191890503485675,False
XLB,Materials,balanced_accuracy,Logistic Regression,0.7085862634080593,0.6510152089895901,0.057571054418469214,Random Forest,-0.0056379226917489,-0.001628339286798267,0.0040095834049506335,False
XLB,Materials,f1_score,Logistic Regression,0.4668435013262599,0.4012738853503185,0.06556961597594141,Random Forest,-0.0076636479988019006,0.0028038357865769335,0.010467483785378835,False
XLB,Materials,roc_auc,Logistic Regression,0.8054535893521757,0.7915362662160299,0.013917323136145798,Random Forest,0.004601214291265299,0.007852333650435467,0.003251119359170168,False
XLE,Energy,average_precision,Logistic Regression,0.466840404729364,0.4534410905413171,0.013399314188046907,Random Forest,-0.0016073034940909667,0.0035840603812890663,0.005191363875380033,False
XLE,Energy,balanced_accuracy,Logistic Regression,0.6536102508046395,0.6200582984150118,0.033551952389627715,Random Forest,-0.003278003819085967,-0.0030725423911796665,0.00020546142790630034,False
XLE,Energy,f1_score,Logistic Regression,0.482233502538071,0.4322766570605187,0.0499568454775523,Random Forest,-0.003891639601787067,-0.0038812737709049334,1.0365830882133522e-05,False
XLE,Energy,roc_auc,Logistic Regression,0.7425669520859902,0.7141100382583349,0.02845691382765536,Random Forest,0.0005129113445746333,0.004640358157392233,0.0041274468128176,False
XLF,Financials,average_precision,Logistic Regression,0.3884203679084427,0.3864464632234789,0.0019739046849637787,Random Forest,-0.0037704924868091332,0.008509123085226765,0.012279615572035898,False
XLF,Financials,balanced_accuracy,Logistic Regression,0.6827353045846292,0.6336216455976935,0.04911365898693565,Random Forest,-0.017409052122570767,0.0044460891596077665,0.021855141282178532,False
XLF,Financials,f1_score,Logistic Regression,0.4338028169014084,0.3677419354838709,0.06606088141753746,Random Forest,-0.030987182161802466,0.012219543171772798,0.043206725333575266,False
XLF,Financials,roc_auc,Logistic Regression,0.802286899070077,0.7735124067111256,0.028774492358951353,Random Forest,-0.0006692901879271999,0.010556435220285867,0.011225725408213066,False
XLI,Industrials,average_precision,Random Forest,0.4195165126807592,0.4139877461634735,0.005528766517285677,Random Forest,0.002942473086636892,0.0056430758797243,0.0027006027930874085,True
XLI,Industrials,balanced_accuracy,Logistic Regression,0.6871576384662204,0.640596469872185,0.04656116859403536,Random Forest,-0.0012713870291472331,0.0031835395955907334,0.004454926624737967,False
XLI,Industrials,f1_score,Logistic Regression,0.4646017699115044,0.4076086956521739,0.056993074259330534,Random Forest,-0.0026467860670627333,0.007430620961618766,0.0100774070286815,False
XLI,Industrials,roc_auc,Logistic Regression,0.7659768715763846,0.7367789274362615,0.02919794414012311,Random Forest,0.002052525491610367,0.004547209260386267,0.0024946837687759003,False
XLK,Technology,average_precision,Random Forest,0.6370969413832709,0.6323563262073739,0.004740615175896967,Logistic Regression,0.0026589122799482896,0.0033046921152403,0.0006457798352920104,False
XLK,Technology,balanced_accuracy,Logistic Regression,0.7524657225074762,0.7346470687806805,0.017818653726795697,Random Forest,0.0028052060411142,0.004974891384077167,0.0021696853429629672,False
XLK,Technology,f1_score,Logistic Regression,0.6325802615933412,0.6134347275031685,0.019145534090172722,Random Forest,0.003598693338328333,0.006896817306482234,0.0032981239681539013,False
XLK,Technology,roc_auc,Logistic Regression,0.8096259098346781,0.8044715905885008,0.0051543192461772636,Random Forest,0.0012486285868331447,0.0024471026349940045,0.0011984740481608598,False
XLP,Consumer Staples,average_precision,Random Forest,0.5009754151362888,0.4965236950886517,0.004451720047637164,Random Forest,0.003505114818583967,0.006070126730985,0.0025650119124010335,True
XLP,Consumer Staples,balanced_accuracy,Logistic Regression,0.6604250181115673,0.6457828221846575,0.01464219592690974,Logistic Regression,-0.0004481472537497667,0.001018755534090001,0.0014669027878397678,True
XLP,Consumer Staples,f1_score,Logistic Regression,0.4739195230998509,0.4528985507246377,0.02102097237521322,Logistic Regression,-0.0005480523487780001,0.0016010641123373913,0.0021491164611153915,True
XLP,Consumer Staples,roc_auc,Logistic Regression,0.72522579087177,0.7141495612975931,0.011076229574176866,Random Forest,-0.00039131718049856664,0.005724972497249534,0.006116289677748101,False
XLU,Utilities,average_precision,Random Forest,0.4320047066000814,0.4248495663195855,0.0071551402804959086,Random Forest,-0.00017610602402543332,0.0006656712029600655,0.0008417772269854988,True
XLU,Utilities,balanced_accuracy,Random Forest,0.5851972013767421,0.5657168650905603,0.019480336286181843,Logistic Regression,-0.004173108390227334,0.004238842182474734,0.008411950572702068,False
XLU,Utilities,f1_score,Logistic Regression,0.3880597014925373,0.3823975720789074,0.005662129413629924,Logistic Regression,-0.009425607031593898,0.0108888578521919,0.0203144648837858,True
XLU,Utilities,roc_auc,Logistic Regression,0.6075156576200418,0.5833380353213339,0.0241776222987079,Random Forest,-0.004054649639200734,0.0014678039208310667,0.0055224535600318005,False
XLV,Health Care,average_precision,Logistic Regression,0.5115454699383656,0.4641844234644762,0.04736104647388939,Logistic Regression,0.0026763085052371074,0.003059972738811633,0.00038366423357452575,True
XLV,Health Care,balanced_accuracy,Logistic Regression,0.7105380405236933,0.6851340911599162,0.0254039493637771,Logistic Regression,-0.0003595883956158333,0.00027197917362123316,0.0006315675692370665,True
XLV,Health Care,f1_score,Logistic Regression,0.4940711462450592,0.49,0.004071146245059221,Logistic Regression,0.0007314789172416667,0.0029842661161862,0.0022527871989445336,True
XLV,Health Care,roc_auc,Logistic Regression,0.7868561641875846,0.7699256479744285,0.01693051621315611,Random Forest,3.1564753388533326e-05,0.0016424571820714447,0.0016108924286829113,False
XLY,Consumer Discretionary,average_precision,Random Forest,0.7514739800323219,0.7148918138762475,0.03658216615607446,Random Forest,0.004083262401182183,0.0049257483328274,0.0008424859316452172,True
XLY,Consumer Discretionary,balanced_accuracy,Random Forest,0.7548556826907342,0.7460921667107234,0.008763515980010794,Logistic Regression,-0.0002852219690707334,0.0018728032817379666,0.0021580252508087002,False
XLY,Consumer Discretionary,f1_score,Random Forest,0.6779661016949152,0.6679920477137177,0.00997405398119755,Logistic Regression,-0.00037541734265316654,0.0023347971132044332,0.0027102144558576,False
XLY,Consumer Discretionary,roc_auc,Random Forest,0.829900683508931,0.8216557783568091,0.00824490515212184,Random Forest,0.0036073103427054997,0.0050080910562008,0.0014007807134953005,True
