model,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,average_precision
Logistic Regression,0.6927710843373494,0.6536102508046395,0.4148471615720524,0.5757575757575758,0.48223350253807107,0.7425669520859902,0.46684040472936406
Random Forest,0.7033132530120482,0.6200582984150118,0.41208791208791207,0.45454545454545453,0.4322766570605187,0.7141100382583349,0.4534410905413171
