ticker,sector,metric,feature_group,noise_intensity,seed,logistic_regression_degradation,random_forest_degradation,paired_difference
XLB,Materials,accuracy,all_predictors,0.1,22,0.0015060240963855,0.0007530120481927,0.0007530120481928
XLB,Materials,accuracy,all_predictors,0.1,23,0.0015060240963855,0.0022590361445783,-0.0007530120481928002
XLB,Materials,accuracy,all_predictors,0.1,24,-0.0007530120481927,0.0075301204819276,-0.0082831325301203
XLB,Materials,accuracy,all_predictors,0.1,25,-0.0015060240963855,0.0037650602409639,-0.0052710843373494
XLB,Materials,accuracy,all_predictors,0.1,26,0.0,0.0015060240963855,-0.0015060240963855
XLB,Materials,accuracy,all_predictors,0.1,27,0.0037650602409639,0.0007530120481927,0.0030120481927712
XLB,Materials,accuracy,all_predictors,0.1,28,-0.0045180722891565,-0.0030120481927711,-0.0015060240963853996
XLB,Materials,accuracy,all_predictors,0.1,29,0.0060240963855421,-0.0022590361445783,0.0082831325301204
XLB,Materials,accuracy,all_predictors,0.2,0,0.0120481927710843,0.0082831325301204,0.0037650602409639005
XLB,Materials,accuracy,all_predictors,0.2,1,0.0112951807228915,0.0045180722891566,0.0067771084337349
XLB,Materials,accuracy,all_predictors,0.2,2,0.0075301204819276,-0.0007530120481927,0.0082831325301203
XLB,Materials,accuracy,all_predictors,0.2,3,0.009789156626506,0.0052710843373494,0.0045180722891566
XLB,Materials,accuracy,all_predictors,0.2,4,0.019578313253012,0.0,0.019578313253012
XLB,Materials,accuracy,all_predictors,0.2,5,0.0090361445783132,0.0060240963855421,0.003012048192771101
XLB,Materials,accuracy,all_predictors,0.2,6,0.0188253012048192,0.0052710843373494,0.013554216867469798
XLB,Materials,accuracy,all_predictors,0.2,7,0.0105421686746988,0.0015060240963855,0.0090361445783133
XLB,Materials,accuracy,all_predictors,0.2,8,0.0188253012048192,0.0067771084337349,0.0120481927710843
XLB,Materials,accuracy,all_predictors,0.2,9,0.0173192771084337,0.0075301204819276,0.0097891566265061
XLB,Materials,accuracy,all_predictors,0.2,10,0.0150602409638553,0.0060240963855421,0.0090361445783132
XLB,Materials,accuracy,all_predictors,0.2,11,0.0082831325301204,-0.0022590361445783,0.010542168674698699
XLB,Materials,accuracy,all_predictors,0.2,12,0.0165662650602409,0.0067771084337349,0.009789156626506
XLB,Materials,accuracy,all_predictors,0.2,13,0.0128012048192771,-0.0007530120481927,0.0135542168674698
XLB,Materials,accuracy,all_predictors,0.2,14,0.0165662650602409,-0.0030120481927711,0.019578313253012
XLB,Materials,accuracy,all_predictors,0.2,15,0.0090361445783132,-0.0015060240963855,0.0105421686746987
XLB,Materials,accuracy,all_predictors,0.2,16,0.0120481927710843,-0.0007530120481927,0.012801204819277
XLB,Materials,accuracy,all_predictors,0.2,17,0.009789156626506,0.0022590361445783,0.0075301204819277
XLB,Materials,accuracy,all_predictors,0.2,18,0.0180722891566265,-0.0052710843373493,0.0233433734939758
XLB,Materials,accuracy,all_predictors,0.2,19,0.0173192771084337,-0.0052710843373493,0.022590361445783
XLB,Materials,accuracy,all_predictors,0.2,20,0.0112951807228915,0.0105421686746988,0.0007530120481927007
XLB,Materials,accuracy,all_predictors,0.2,21,0.0112951807228915,0.0022590361445783,0.0090361445783132
XLB,Materials,accuracy,all_predictors,0.2,22,0.0112951807228915,0.0007530120481927,0.0105421686746988
XLB,Materials,accuracy,all_predictors,0.2,23,0.0082831325301204,0.0060240963855421,0.0022590361445782997
XLB,Materials,accuracy,all_predictors,0.2,24,0.0052710843373493,0.0075301204819276,-0.0022590361445782997
XLB,Materials,accuracy,all_predictors,0.2,25,0.0082831325301204,0.0007530120481927,0.0075301204819276995
XLB,Materials,accuracy,all_predictors,0.2,26,0.0045180722891566,-0.0067771084337349,0.0112951807228915
XLB,Materials,accuracy,all_predictors,0.2,27,0.0150602409638553,0.0082831325301204,0.006777108433734901
XLB,Materials,accuracy,all_predictors,0.2,28,0.0052710843373493,-0.0022590361445783,0.0075301204819276
XLB,Materials,accuracy,all_predictors,0.2,29,0.0218373493975904,-0.0045180722891565,0.0263554216867469
XLB,Materials,accuracy,all_predictors,0.5,0,0.0813253012048192,0.0271084337349397,0.054216867469879505
XLB,Materials,accuracy,all_predictors,0.5,1,0.0700301204819277,0.0143072289156627,0.05572289156626499
XLB,Materials,accuracy,all_predictors,0.5,2,0.0775602409638553,0.0158132530120481,0.061746987951807206
XLB,Materials,accuracy,all_predictors,0.5,3,0.0805722891566265,0.0248493975903614,0.055722891566265094
XLB,Materials,accuracy,all_predictors,0.5,4,0.0963855421686746,0.0225903614457831,0.07379518072289151
XLB,Materials,accuracy,all_predictors,0.5,5,0.0993975903614458,0.0233433734939759,0.0760542168674699
XLB,Materials,accuracy,all_predictors,0.5,6,0.0933734939759036,0.0128012048192771,0.0805722891566265
XLB,Materials,accuracy,all_predictors,0.5,7,0.0798192771084337,0.0180722891566265,0.061746987951807206
XLB,Materials,accuracy,all_predictors,0.5,8,0.0858433734939758,0.0286144578313253,0.05722891566265051
XLB,Materials,accuracy,all_predictors,0.5,9,0.0971385542168674,0.0308734939759036,0.0662650602409638
XLB,Materials,accuracy,all_predictors,0.5,10,0.0918674698795181,0.0218373493975904,0.07003012048192771
XLB,Materials,accuracy,all_predictors,0.5,11,0.0775602409638553,0.0165662650602409,0.060993975903614404
XLB,Materials,accuracy,all_predictors,0.5,12,0.0888554216867469,0.0271084337349397,0.0617469879518072
XLB,Materials,accuracy,all_predictors,0.5,13,0.0941265060240964,0.0263554216867469,0.0677710843373495
XLB,Materials,accuracy,all_predictors,0.5,14,0.0971385542168674,0.0203313253012048,0.0768072289156626
XLB,Materials,accuracy,all_predictors,0.5,15,0.0963855421686746,0.0278614457831325,0.0685240963855421
XLB,Materials,accuracy,all_predictors,0.5,16,0.0896084337349397,0.0210843373493976,0.06852409638554209
XLB,Materials,accuracy,all_predictors,0.5,17,0.0783132530120481,0.0256024096385542,0.052710843373493896
XLB,Materials,accuracy,all_predictors,0.5,18,0.0978915662650602,0.0278614457831325,0.0700301204819277
XLB,Materials,accuracy,all_predictors,0.5,19,0.0843373493975904,0.0173192771084337,0.0670180722891567
XLB,Materials,accuracy,all_predictors,0.5,20,0.0933734939759036,0.0210843373493976,0.072289156626506
XLB,Materials,accuracy,all_predictors,0.5,21,0.0858433734939758,0.0316265060240964,0.05421686746987941
XLB,Materials,accuracy,all_predictors,0.5,22,0.0865963855421686,0.0218373493975904,0.0647590361445782
XLB,Materials,accuracy,all_predictors,0.5,23,0.0662650602409639,0.0173192771084337,0.0489457831325302
XLB,Materials,accuracy,all_predictors,0.5,24,0.0760542168674699,0.0308734939759036,0.0451807228915663
XLB,Materials,accuracy,all_predictors,0.5,25,0.0790662650602409,0.0135542168674699,0.06551204819277101
XLB,Materials,accuracy,all_predictors,0.5,26,0.0813253012048192,0.0112951807228915,0.07003012048192771
XLB,Materials,accuracy,all_predictors,0.5,27,0.0903614457831325,0.0225903614457831,0.06777108433734941
XLB,Materials,accuracy,all_predictors,0.5,28,0.0753012048192771,0.0128012048192771,0.0625
XLB,Materials,accuracy,all_predictors,0.5,29,0.1024096385542169,0.0188253012048192,0.08358433734939771
XLB,Materials,accuracy,all_predictors,1.0,0,0.1799698795180723,0.1076807228915662,0.0722891566265061
XLB,Materials,accuracy,all_predictors,1.0,1,0.1671686746987951,0.0647590361445783,0.1024096385542168
XLB,Materials,accuracy,all_predictors,1.0,2,0.1784638554216867,0.0865963855421686,0.09186746987951809
XLB,Materials,accuracy,all_predictors,1.0,3,0.1724397590361446,0.0881024096385542,0.08433734939759041
XLB,Materials,accuracy,all_predictors,1.0,4,0.1867469879518072,0.098644578313253,0.08810240963855419
XLB,Materials,accuracy,all_predictors,1.0,5,0.1987951807228916,0.0956325301204819,0.1031626506024097
XLB,Materials,accuracy,all_predictors,1.0,6,0.1920180722891566,0.0918674698795181,0.1001506024096385
XLB,Materials,accuracy,all_predictors,1.0,7,0.1777108433734939,0.0828313253012048,0.09487951807228912
XLB,Materials,accuracy,all_predictors,1.0,8,0.1875,0.0926204819277108,0.0948795180722892
XLB,Materials,accuracy,all_predictors,1.0,9,0.2025602409638554,0.0858433734939759,0.11671686746987948
XLB,Materials,accuracy,all_predictors,1.0,10,0.1905120481927711,0.0933734939759036,0.0971385542168675
XLB,Materials,accuracy,all_predictors,1.0,11,0.1784638554216867,0.0948795180722892,0.08358433734939749
XLB,Materials,accuracy,all_predictors,1.0,12,0.2063253012048193,0.0850903614457831,0.1212349397590362
XLB,Materials,accuracy,all_predictors,1.0,13,0.1927710843373493,0.0941265060240964,0.09864457831325289
XLB,Materials,accuracy,all_predictors,1.0,14,0.1852409638554216,0.0918674698795181,0.0933734939759035
XLB,Materials,accuracy,all_predictors,1.0,15,0.1965361445783132,0.0933734939759036,0.1031626506024096
XLB,Materials,accuracy,all_predictors,1.0,16,0.1859939759036144,0.098644578313253,0.08734939759036141
XLB,Materials,accuracy,all_predictors,1.0,17,0.1769578313253011,0.0790662650602409,0.0978915662650602
XLB,Materials,accuracy,all_predictors,1.0,18,0.2003012048192771,0.0993975903614458,0.1009036144578313
XLB,Materials,accuracy,all_predictors,1.0,19,0.1912650602409639,0.0971385542168674,0.0941265060240965
XLB,Materials,accuracy,all_predictors,1.0,20,0.2018072289156626,0.1061746987951807,0.09563253012048191
