ticker,sector,feature_group,noise_intensity,seed_count,mean_total_clipped_values,std_total_clipped_values,clipped_values_ci95_lower,clipped_values_ci95_upper,mean_clipped_proportion,std_clipped_proportion,clipped_proportion_ci95_lower,clipped_proportion_ci95_upper
XLB,Materials,all_predictors,0.05,30,0.5,0.5085476277156078,0.31801856858648914,0.6819814314135109,3.422782037239868e-05,3.481295370451861e-05,2.1770164881331397e-05,4.668547586346596e-05
XLB,Materials,all_predictors,0.1,30,0.8666666666666667,0.9371024061116425,0.5313288773404539,1.2020044559928795,5.9328221978824385e-05,6.414994565386381e-05,3.637245874455461e-05,8.228398521309416e-05
XLB,Materials,all_predictors,0.2,30,6.7,2.5481568727760586,5.788153773802905,7.611846226197096,0.0004586527929901424,0.0001744357114441442,0.00039623177531509477,0.0005210738106651901
XLB,Materials,all_predictors,0.5,30,167.36666666666667,15.51302752490647,161.81540106108133,172.91793227225202,0.011457192405987585,0.0010619542391091504,0.011077176962012686,0.011837207849962485
XLB,Materials,all_predictors,1.0,30,834.1,22.568439971753048,826.0239874753162,842.1760125246839,0.05709884994523549,0.0015449370188768512,0.05654600133319525,0.05765169855727573
XLB,Materials,momentum,0.05,30,0.43333333333333335,0.5040069329937308,0.2529767686580881,0.6136898980085785,0.00010876840696117804,0.00012650776430565532,6.349818490413857e-05,0.0001540386290182175
XLB,Materials,momentum,0.1,30,0.5666666666666667,0.5683207771559354,0.3632956884291806,0.7700376449041527,0.00014223560910307895,0.00014265079747889943,9.118867681455334e-05,0.00019328254139160456
XLB,Materials,momentum,0.2,30,1.0333333333333334,0.9278574999588488,0.7013037911864974,1.3653628754801694,0.00025937081659973226,0.0002328959588250122,0.00017603006806889994,0.00034271156513056457
XLB,Materials,momentum,0.5,30,4.2,1.900997923052068,3.5197366297722894,4.880263370227711,0.0010542168674698795,0.0004771581132158805,0.0008834680295613177,0.0012249657053784414
XLB,Materials,momentum,1.0,30,36.6,5.04189345932383,34.79578159692985,38.40421840307015,0.009186746987951808,0.0012655355068583911,0.008733880922924158,0.009639613052979458
XLB,Materials,returns,0.05,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLB,Materials,returns,0.1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLB,Materials,returns,0.2,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLB,Materials,returns,0.5,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLB,Materials,returns,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLB,Materials,volatility,0.05,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLB,Materials,volatility,0.1,30,0.23333333333333334,0.4301830671520762,0.0793942997725115,0.3872723668941552,5.856760374832664e-05,0.00010797767749801113,1.99282880955099e-05,9.720691940114337e-05
XLB,Materials,volatility,0.2,30,3.966666666666667,1.9561280074701644,3.266675249094759,4.666658084238575,0.0009956492637215528,0.0004909959858107842,0.0008199486067004915,0.001171349920742614
XLB,Materials,volatility,0.5,30,100.96666666666667,10.538871670722346,97.19537987345824,104.7379534598751,0.025343038821954485,0.0026452991141371353,0.024396430691129074,0.026289646952779896
XLB,Materials,volatility,1.0,30,488.0,21.67152907419763,480.2449429180162,495.7550570819838,0.12248995983935744,0.0054396408318769145,0.12054340936697194,0.12443651031174294
XLB,Materials,volume_and_range,0.05,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLB,Materials,volume_and_range,0.1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLB,Materials,volume_and_range,0.2,30,1.0333333333333334,0.9994251221140299,0.6756936465061166,1.3909730201605504,0.00038905622489959844,0.000376289579109198,0.00025440272835320656,0.0005237097214459903
XLB,Materials,volume_and_range,0.5,30,63.2,7.165049269508393,60.63602004777684,65.76397995222317,0.02379518072289156,0.0026976842129173167,0.022829826825217177,0.024760534620565947
XLB,Materials,volume_and_range,1.0,30,319.53333333333336,16.025267405016955,313.79876504078374,325.267901625883,0.12030622489959837,0.006033609715744335,0.11814712539186131,0.12246532440733543
XLE,Energy,all_predictors,0.05,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,Energy,all_predictors,0.1,30,0.06666666666666667,0.2537081317024625,-0.0241216222805411,0.15745495561387443,4.563709382986491e-06,1.7367752717857508e-05,-1.6512611090184213e-06,1.0778679874991404e-05
XLE,Energy,all_predictors,0.2,30,5.033333333333333,1.8842968748696896,4.359046356443622,5.707620310223044,0.0003445600584154801,0.00012899074992262386,0.0002984013113666226,0.00039071880546433756
XLE,Energy,all_predictors,0.5,30,125.93333333333334,12.929339352494157,121.30662866622649,130.5600380004402,0.00862084702446148,0.0008850862097819112,0.008304122991937736,0.008937571056985226
