model,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,average_precision
Logistic Regression,0.848644578313253,0.7085862634080593,0.4230769230769231,0.5207100591715976,0.46684350132625996,0.8054535893521757,0.3874020618937343
Random Forest,0.858433734939759,0.6510152089895901,0.43448275862068964,0.3727810650887574,0.4012738853503185,0.7915362662160299,0.3998756330234307
