result_type,fold,training_start,training_end,validation_start,validation_end,training_size,validation_size,fold_training_threshold,training_positive_count,training_positive_proportion,validation_positive_count,validation_positive_proportion,true_negative,false_positive,false_negative,true_positive,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,average_precision
fold,1.0,2000-03-14,2003-09-08,2003-09-16,2007-03-14,875.0,879.0,0.06522947985859326,219.0,0.2502857142857143,0.0,0.0,879.0,0.0,0.0,0.0,1.0,,,,,,
fold,2.0,2000-03-14,2007-03-07,2007-03-15,2010-09-08,1754.0,879.0,0.0491814405873012,439.0,0.250285062713797,129.0,0.14675767918088736,690.0,60.0,30.0,99.0,0.8976109215017065,0.8437209302325581,0.6226415094339622,0.7674418604651163,0.6875,0.9147596899224807,0.7674737725210816
fold,3.0,2000-03-14,2010-08-31,2010-09-09,2014-03-07,2633.0,879.0,0.0456292198863191,658.0,0.24990505127231294,21.0,0.023890784982935155,838.0,20.0,10.0,11.0,0.9658703071672355,0.7502497502497503,0.3548387096774194,0.5238095238095238,0.4230769230769231,0.9637029637029636,0.40425055046068414
fold,4.0,2000-03-14,2014-02-28,2014-03-10,2017-08-31,3512.0,879.0,0.039974494327395825,878.0,0.25,27.0,0.030716723549488054,834.0,18.0,18.0,9.0,0.9590443686006825,0.6561032863849765,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7668231611893584,0.3241465484532119
fold,5.0,2000-03-14,2017-08-24,2017-09-01,2021-03-02,4391.0,879.0,0.0360222577580496,1098.0,0.2500569346390344,222.0,0.2525597269624573,513.0,144.0,68.0,154.0,0.7588168373151308,0.7372578057509565,0.5167785234899329,0.6936936936936937,0.5923076923076923,0.8347251360949992,0.6671688207127567
mean,,,,,,,,,,,,,,,,,0.9162684869169511,0.7468329431545604,0.45689801898366195,0.5795696028254167,0.5090544871794872,0.8700027377274504,0.5407599230369335
standard_deviation,,,,,,,,,,,,,,,,,0.09544659451585664,0.07686028555020334,0.13752686234878642,0.1932716396960376,0.1602539262628002,0.08693570672086424,0.2105030022028559
valid_fold_count,,,,,,,,,,,,,,,,,5.0,4.0,4.0,4.0,4.0,4.0,4.0
