model,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,average_precision
Logistic Regression,0.8177710843373494,0.6871576384662204,0.4375,0.49528301886792453,0.4646017699115044,0.7659768715763846,0.41398774616347356
Random Forest,0.8358433734939759,0.640596469872185,0.4807692307692308,0.35377358490566035,0.4076086956521739,0.7367789274362615,0.41951651268075923
