model,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,average_precision
Logistic Regression,0.848644578313253,0.6827353045846292,0.4095744680851064,0.46107784431137727,0.43380281690140843,0.802286899070077,0.3884203679084427
Random Forest,0.8524096385542169,0.6336216455976935,0.3986013986013986,0.3413173652694611,0.36774193548387096,0.7735124067111256,0.3864464632234789
