result_type,fold,training_start,training_end,validation_start,validation_end,training_size,validation_size,fold_training_threshold,training_positive_count,training_positive_proportion,validation_positive_count,validation_positive_proportion,true_negative,false_positive,false_negative,true_positive,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,average_precision
fold,1.0,2000-03-14,2003-09-08,2003-09-16,2007-03-14,875.0,879.0,0.06522947985859326,219.0,0.2502857142857143,0.0,0.0,879.0,0.0,0.0,0.0,1.0,,,,,,
fold,2.0,2000-03-14,2007-03-07,2007-03-15,2010-09-08,1754.0,879.0,0.0491814405873012,439.0,0.250285062713797,129.0,0.14675767918088736,691.0,59.0,43.0,86.0,0.8839590443686007,0.794,0.593103448275862,0.6666666666666666,0.6277372262773723,0.8918552971576226,0.7334536112475
fold,3.0,2000-03-14,2010-08-31,2010-09-09,2014-03-07,2633.0,879.0,0.0456292198863191,658.0,0.24990505127231294,21.0,0.023890784982935155,848.0,10.0,10.0,11.0,0.9772468714448237,0.7560772560772561,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9435564435564435,0.3893990550104894
fold,4.0,2000-03-14,2014-02-28,2014-03-10,2017-08-31,3512.0,879.0,0.039974494327395825,878.0,0.25,27.0,0.030716723549488054,838.0,14.0,19.0,8.0,0.962457337883959,0.6399321857068336,0.36363636363636365,0.2962962962962963,0.32653061224489793,0.6899669622674317,0.24261658073284634
fold,5.0,2000-03-14,2017-08-24,2017-09-01,2021-03-02,4391.0,879.0,0.0360222577580496,1098.0,0.2500569346390344,222.0,0.2525597269624573,546.0,111.0,87.0,135.0,0.7747440273037542,0.7195791682093051,0.5487804878048781,0.6081081081081081,0.5769230769230769,0.8338646866044125,0.6519300001043504
mean,,,,,,,,,,,,,,,,,0.9196814562002276,0.7273971524983488,0.5073324558816569,0.5237201487201487,0.5137501098137177,0.8398108473964776,0.5043498117737966
standard_deviation,,,,,,,,,,,,,,,,,0.09202930316807788,0.06575137243386292,0.09999110490549068,0.16255937512378962,0.1318284473257565,0.10948412398191024,0.22802516208565018
valid_fold_count,,,,,,,,,,,,,,,,,5.0,4.0,4.0,4.0,4.0,4.0,4.0
