sector,model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
XLK,Logistic Regression,volatility,0.2,balanced_accuracy,30,0.7524657225074762,0.7475792284978089,0.0041799233642755,0.7460834621318412,0.7490749948637766,0.0048864940096673,0.0041799233642755,0.0033907276436997,0.006382260375635
XLK,Logistic Regression,volatility,0.2,f1_score,30,0.6325802615933412,0.6255391934802066,0.0051018019429538,0.6237135371015946,0.6273648498588186,0.0070410681131347,0.0051018019429538,0.0052154117345228,0.0088667244917467
XLK,Logistic Regression,volatility,0.2,roc_auc,30,0.8096259098346781,0.8061853711749328,0.0031500471817298,0.805058141267822,0.8073126010820436,0.0034405386597453,0.0031500471817298,0.0023133087526344,0.0045677685668561
XLK,Logistic Regression,volatility,0.2,average_precision,30,0.6323563262073739,0.6286303247277806,0.0048809124994096,0.6268837126213853,0.6303769368341758,0.0037260014795934,0.0048809124994096,0.0019793893731982,0.0054726135859886
XLK,Random Forest,volatility,0.2,balanced_accuracy,30,0.7346470687806805,0.7307552333126446,0.0064465401686388,0.7284483685400698,0.7330620980852194,0.0038918354680359,0.0064465401686388,0.0015849706954612,0.0061987002406107
XLK,Random Forest,volatility,0.2,f1_score,30,0.6134347275031685,0.6086028727845106,0.0087257277469089,0.6054804112116585,0.6117253343573628,0.0048318547186578,0.0087257277469089,0.0017093931458058,0.0079543162915099
XLK,Random Forest,volatility,0.2,roc_auc,30,0.8044715905885008,0.8025818616110894,0.0034529439930019,0.8013462414721069,0.8038174817500718,0.0018897289774116,0.0034529439930019,0.0006541088384291,0.0031253491163941
XLK,Random Forest,volatility,0.2,average_precision,30,0.6370969413832709,0.6332794778756468,0.0063842838436109,0.6309948912428679,0.6355640645084256,0.003817463507624,0.0063842838436109,0.0015328768748451,0.0061020501404028
XLK,Logistic Regression,volatility,0.5,balanced_accuracy,30,0.7524657225074762,0.7221769264044836,0.0084090033976121,0.7191678031844372,0.72518604962453,0.0302887961029924,0.0084090033976121,0.027279672882946,0.0332979193230388
XLK,Logistic Regression,volatility,0.5,f1_score,30,0.6325802615933412,0.5926165019280951,0.0102092230473276,0.5889631783797814,0.5962698254764088,0.0399637596652461,0.0102092230473276,0.0363104361169324,0.0436170832135597
XLK,Logistic Regression,volatility,0.5,roc_auc,30,0.8096259098346781,0.7854931445014953,0.0070347013147556,0.7829758089658321,0.7880104800371586,0.0241327653331828,0.0070347013147556,0.0216154297975195,0.026650100868846
XLK,Logistic Regression,volatility,0.5,average_precision,30,0.6323563262073739,0.6049087790941942,0.0115554478427342,0.6007737151897747,0.6090438429986136,0.0274475471131796,0.0115554478427342,0.0233124832087602,0.031582611017599
XLK,Random Forest,volatility,0.5,balanced_accuracy,30,0.7346470687806805,0.718188135943877,0.0081770543747176,0.7152620146156906,0.7211142572720634,0.0164589328368034,0.0081770543747176,0.013532811508617,0.0193850541649898
XLK,Random Forest,volatility,0.5,f1_score,30,0.6134347275031685,0.59138705775356,0.0111595347854739,0.5873936695171585,0.5953804459899615,0.0220476697496084,0.0111595347854739,0.0180542815132068,0.0260410579860099
