model,accuracy,balanced_accuracy,precision,recall,f1_score,roc_auc,average_precision
Logistic Regression,0.7341867469879518,0.6604250181115673,0.4320652173913043,0.5247524752475248,0.47391952309985097,0.72522579087177,0.4965236950886517
Random Forest,0.7725903614457831,0.6457828221846575,0.5020080321285141,0.41254125412541254,0.4528985507246377,0.7141495612975931,0.5009754151362888
